Adresse,Type de lieu,Horaire,Position,Mode ped,COORD_N_Y,COORD_E_X,LAT,LON,Field10,Field11
Route du Bois-des-Freres 30 (1219 Le Lignon),Piscine du Lignon,"Lu 11:00-13:30 16:30-20:30 / Ma, Je, Ve 7:00-13:30 16:30-20:30 / Me 7:00-20:30 / Sa, Di 9:30-20:30",Infirmerie,NON,1117846.67,2496736.44,46.204154,6.10074,,
Route du Creux-de-Boisset 23 (1286 Soral),Mairie de Soral,24/24,Fixé sur le mur extérieur de la mairie à droite de l'escalier menant à la salle communale,-,1111150.35,2492063.76,46.143144,6.041742,,
Route du Creux-du-Loup 44 (1285 Athenaz (Avusy)),Salle communale de Sézegnin,24/24,"Boîtier mural, porte d'entrée principale",OUI,1111374.95,2489431.09,46.144765,6.007623,,
Route du Mandement 349A (1281 Russin),Bâtiment,24/24,mur à droite entrée du salon de coiffure Nouvel'hair,OUI,1116227.67,2490002.75,46.18849849,6.013879957,,
Route du Val-d'Arve 92 (1227 Carouge GE),Bâtiment des services techniques,lu-ve 08h00-12h00 14h00-16h00,A droite en entrant dans le hall de réception,OUI,1115335.87,2500421.77,46.182099,6.149003,,
Route du Vallon 1 - 1224 Chêne-Bougeries,Salle Communale,24/24,Entrée principale - au niveau de l'élévateur pour personnes à mobilité réduite.,OUI,1116858.05,2503401.08,46.19623316,6.187250427,,
Route du Vallon 4 (1224 Chene-Bougeries),Batiment Etat Civil- Rez,"Lu, Je, Ve 8:30-12:00 13:30-16:30 / Ma 7:30-18:00 / Me 13:30-16:30",En face de l'entrée principale,OUI,1116952.65,2503406.95,46.197066,6.187318,,
"Rue Centrale 18, 1247 Anières",Galerie,24/24,"A l'entrée, à côté de la porte sous le couvent",OUI,1125674.9,2506401.17,46.27596098,6.224338645,,
Rue de Carouge 64 - 1205 Genève,MIGROS Plainpalais,Lu - Me 07:30 - 19:00 / Je 07:30 - 20:00 / Ve 07:30 - 19:30 / Sa 07:30 - 18:00,Au service client à gauche en bas des escaliers ou à droite en sortant ascenseur,OUI,1116572.18,2500031.1,46.19316928,6.143662852,,
Rue de Graman 52 - 1241 Puplinge,Ecole - Salle de sport,24/24,"A l'arrière de l'école côté terrain de foot, sous le préau",OUI,1 118 326.17,2506923.11,6.224338645,6.232569,,
Rue de Graman 68 - 1241 Puplinge,Mairie,24/24,A droite de l'entrée de la Mairie,OUI,1118442.29,2506916.81,46.21097864,6.232471853,,
Rue de la Debridee 3 (1227 Carouge GE),Centre social,"Lu, Me, Ve 08:30-11:30 14:00-16:30 / Ma, Je 08:30-11:30",Hall d'entrée,OUI,1115726.35,2499614.4,46.185478,6.138436,,
Rue de La-Tambourine 3 (1227 Carouge GE),Maison de quartier des Grands Hutins,"Lu, Ma, Je 8:00-12:00 13:30-19:00 / Me 8:00-20:00 / Ve 8:00-12:00 13:30-22:00 / Sa 14:00-18:00",Hall d'entrée,OUI,1114781.19,2499613.4,46.177009,6.138767,,
Rue de Lausanne 18-20 - 1201 Genève,MIGROS Les Cygnes,Lu - Me 08:30 - 19:00 / Je - Ve 08:30 - 19:30 / Sa 08:00 - 19:00,Vers les ascenceurs au niveau des caisses de la MIGROS,OUI,1118603.18,2500136.83,46.21145256,6.144597686,,
Rue des Arpenteurs 13 (1217 Meyrin),Ecole des Vergers,24/24,"Entrée de service, en face du terrain de rugby",NON,1120985.46,2494347.39,46.232454,46.232454,,
Rue des Bossons 11 - 1213 Onex,Poste de police municipale - maison de la sécurité,24/24,Sur la façade à droite de l'entrée de la maison de la sécurité,OUI,1115954.87,2496942.88,46.187169,6.103842,,
Rue des Bossons 5 - 1213 Onex,Piscine municipale d'Onex-Parc,24/24,"A l'angle du bâtiment de la piscine,  côté parking",-,1 115 920.40,2496799.82,46.18681252,6.10196101,,
Rue des Bossons 78-80 - 1213 Petit-Lancy,MIGROS Lancy-Onex,Lu - Me 08:00 - 19:00 / Je 08:00 - 20:00 / Ve 08:00 - 19:30 / Sa 08:00 - 18:00,"Au service client Migros, au milieu du centre commercial",OUI,1116091.91,2497428.72,46.18845762,6.110063834,,
Rue des Boudines 2 (1217 Meyrin),Mairie de Meyrin,lu-ve 8h-12h et 13h30-17h,A côté de la réception,OUI,1121049.12,2495312.29,46.232778,6.081589,,
Rue des Caroubiers 7 (1227 Carouge GE),Résidence Gabrielle Sabet / Foyer-handicap,24/24,Dans le sas d'entrée de la Résidence,-,1115970.22,2499304.25,46.187637,6.134372,,
Rue des Charmettes 3 (1227 Carouge GE),Centre sportif des Charmettes,lu-ve 08h00-12h00 13h30-16h30,Hall d'entrée à droite,OUI,1115663.18,2499624.12,46.184919,6.138608,,
Rue des Contamines 26 - 1206 Genève,Athletica - Salle de sport - fitness,Lu -  Je 07:00 - 20:30 / Ve - 07:00 - 20:00 / Sa - 09:00 - 13:00 / Di 10:00 - 14:00,A l'entrée de la salle de sport,OUI,1116815.35,2500940.31,46.19549102,6.15538693,,
Rue des Eaux-Vives 17-19 - 1207 Genève,MIGROS Eaux-Vives,Lu-Me 07:30 -19:00 / Je 07:30 - 20:00 / Ve 07:30 - 19:30 / Sa 08:00 - 18:00,Entreé à droite à côté des fleurs,OUI,1117738.45,2501137.26,46.20382274,6.157742346,,
Rue des Evaux 13 - 1213 Onex,Bâtiment de la Commune d'Onex,"Lu, Ma, Je, Ve 07:30 - 17:30 / Me 07:30-18:00",Intérieur du bâtiment au rez de chaussé,-,1116349.67,2496672.05,46.19066014,6.10020142,,
